studyhours,attendance,resources,extracurricular,motivation,internet,gender,age,learningstyle,onlinecourses,discussions,assignmentcompletion,examscore,edutech,stresslevel,finalgrade
23,88,Some,Yes,Low,Yes,Female,18,Auditory,5,Often,86,45,No,Medium,Excellent
23,88,Some,Yes,Low,Yes,Female,23,Kinesthetic,19,Rarely,84,93,No,High,Fail
23,88,Some,Yes,Low,Yes,Female,25,Visual,11,Rarely,91,91,Yes,Low,Fail
23,88,Some,Yes,Low,Yes,Female,29,Visual,16,Often,81,96,No,Medium,Fail
14,89,Many,Yes,Medium,Yes,Female,25,Kinesthetic,8,Often,88,51,No,High,Excellent
14,89,Many,Yes,Medium,Yes,Female,19,Visual,15,Often,74,65,Yes,Medium,Good
14,89,Many,No,Low,Yes,Female,25,Kinesthetic,8,Often,88,51,No,High,Excellent
14,89,Many,No,Low,Yes,Female,19,Visual,15,Often,74,65,Yes,Medium,Good
14,89,Many,Yes,Low,Yes,Female,25,Kinesthetic,8,Often,88,51,No,High,Excellent
14,89,Many,Yes,Low,Yes,Female,19,Visual,15,Often,74,65,Yes,Medium,Good
14,89,Some,Yes,High,Yes,Female,25,Kinesthetic,8,Often,88,51,No,High,Excellent
14,89,Some,Yes,High,Yes,Female,19,Visual,15,Often,74,65,Yes,Medium,Good
15,72,Many,No,Medium,Yes,Male,21,Visual,16,Rarely,97,95,Yes,High,Fail
15,72,Many,No,Medium,Yes,Male,28,Visual,14,Often,73,57,No,Medium,Good
15,72,Many,No,Medium,Yes,Male,20,Kinesthetic,1,Often,99,73,No,Medium,Average
15,72,Many,No,Medium,Yes,Male,23,Visual,0,Often,70,86,No,High,Fail
15,72,Some,Yes,High,Yes,Male,21,Visual,16,Rarely,97,95,Yes,High,Fail
15,72,Some,Yes,High,Yes,Male,28,Visual,14,Often,73,57,No,Medium,Good
15,72,Some,Yes,High,Yes,Male,20,Kinesthetic,1,Often,99,73,No,Medium,Average
15,72,Some,Yes,High,Yes,Male,23,Visual,0,Often,70,86,No,High,Fail
15,72,Some,Yes,Medium,Yes,Male,21,Visual,16,Rarely,97,95,Yes,High,Fail
15,72,Some,Yes,Medium,Yes,Male,28,Visual,14,Often,73,57,No,Medium,Good
15,72,Some,Yes,Medium,Yes,Male,20,Kinesthetic,1,Often,99,73,No,Medium,Average
15,72,Some,Yes,Medium,Yes,Male,23,Visual,0,Often,70,86,No,High,Fail
12,64,Some,Yes,High,Yes,Female,22,Auditory,2,Rarely,64,84,Yes,Medium,Average
12,64,Some,Yes,High,Yes,Female,23,Kinesthetic,6,Rarely,54,88,Yes,High,Fail
12,64,Some,Yes,High,Yes,Female,23,Visual,1,Rarely,86,51,Yes,High,Excellent
12,64,Some,No,Medium,Yes,Female,22,Auditory,2,Rarely,64,84,Yes,Medium,Average
12,64,Some,No,Medium,Yes,Female,23,Kinesthetic,6,Rarely,54,88,Yes,High,Fail
12,64,Some,No,Medium,Yes,Female,23,Visual,1,Rarely,86,51,Yes,High,Excellent
12,64,Some,No,Low,No,Female,22,Auditory,2,Rarely,64,84,Yes,Medium,Average
12,64,Some,No,Low,No,Female,23,Kinesthetic,6,Rarely,54,88,Yes,High,Fail
12,64,Some,No,Low,No,Female,23,Visual,1,Rarely,86,51,Yes,High,Excellent
12,64,Many,Yes,Medium,No,Female,22,Auditory,2,Rarely,64,84,Yes,Medium,Average
12,64,Many,Yes,Medium,No,Female,23,Kinesthetic,6,Rarely,54,88,Yes,High,Fail
12,64,Many,Yes,Medium,No,Female,23,Visual,1,Rarely,86,51,Yes,High,Excellent
31,93,Some,Yes,Medium,Yes,Female,19,Visual,8,Rarely,62,66,Yes,Medium,Good
31,93,Some,Yes,Medium,Yes,Female,18,Visual,7,Often,89,94,No,Medium,Fail
31,93,Some,Yes,Medium,Yes,Female,23,Auditory,15,Often,62,66,No,High,Good
31,93,Some,No,Low,Yes,Female,19,Visual,8,Rarely,62,66,Yes,Medium,Good
31,93,Some,No,Low,Yes,Female,18,Visual,7,Often,89,94,No,Medium,Fail
31,93,Some,No,Low,Yes,Female,23,Auditory,15,Often,62,66,No,High,Good
31,93,Some,No,Medium,Yes,Female,19,Visual,8,Rarely,62,66,Yes,Medium,Good
31,93,Some,No,Medium,Yes,Female,18,Visual,7,Often,89,94,No,Medium,Fail
31,93,Some,No,Medium,Yes,Female,23,Auditory,15,Often,62,66,No,High,Good
12,99,Some,No,Low,Yes,Male,22,Auditory,4,Rarely,92,72,Yes,Low,Average
12,99,Some,No,Low,Yes,Male,23,Visual,8,Often,56,85,Yes,Low,Fail
12,99,Many,No,Medium,Yes,Male,22,Auditory,4,Rarely,92,72,Yes,Low,Average
12,99,Many,No,Medium,Yes,Male,23,Visual,8,Often,56,85,Yes,Low,Fail
12,99,Some,Yes,Low,Yes,Male,22,Auditory,4,Rarely,92,72,Yes,Low,Average
12,99,Some,Yes,Low,Yes,Male,23,Visual,8,Often,56,85,Yes,Low,Fail
23,80,Some,Yes,Low,Yes,Male,20,Kinesthetic,12,Rarely,54,47,No,High,Excellent
23,80,Some,Yes,Low,Yes,Male,21,Visual,4,Often,97,79,Yes,High,Average
23,80,Some,Yes,Low,Yes,Male,19,Visual,4,Rarely,83,68,No,High,Good
23,80,Some,Yes,Low,Yes,Male,29,Auditory,17,Often,73,81,No,Low,Average
23,80,Some,Yes,Medium,Yes,Male,20,Kinesthetic,12,Rarely,54,47,No,High,Excellent
23,80,Some,Yes,Medium,Yes,Male,21,Visual,4,Often,97,79,Yes,High,Average
23,80,Some,Yes,Medium,Yes,Male,19,Visual,4,Rarely,83,68,No,High,Good
23,80,Some,Yes,Medium,Yes,Male,29,Auditory,17,Often,73,81,No,Low,Average
23,80,Some,Yes,High,Yes,Male,20,Kinesthetic,12,Rarely,54,47,No,High,Excellent
23,80,Some,Yes,High,Yes,Male,21,Visual,4,Often,97,79,Yes,High,Average
23,80,Some,Yes,High,Yes,Male,19,Visual,4,Rarely,83,68,No,High,Good
23,80,Some,Yes,High,Yes,Male,29,Auditory,17,Often,73,81,No,Low,Average
23,80,Some,No,Low,Yes,Male,20,Kinesthetic,12,Rarely,54,47,No,High,Excellent
23,80,Some,No,Low,Yes,Male,21,Visual,4,Often,97,79,Yes,High,Average
23,80,Some,No,Low,Yes,Male,19,Visual,4,Rarely,83,68,No,High,Good
23,80,Some,No,Low,Yes,Male,29,Auditory,17,Often,73,81,No,Low,Average
16,60,Some,Yes,Low,Yes,Male,21,Visual,0,Often,58,77,Yes,High,Average
16,60,Some,Yes,Low,Yes,Male,19,Auditory,11,Often,72,57,No,Low,Good
16,60,Some,Yes,Low,Yes,Male,25,Kinesthetic,13,Often,99,46,No,Medium,Excellent
16,60,Many,No,Low,Yes,Male,21,Visual,0,Often,58,77,Yes,High,Average
16,60,Many,No,Low,Yes,Male,19,Auditory,11,Often,72,57,No,Low,Good
16,60,Many,No,Low,Yes,Male,25,Kinesthetic,13,Often,99,46,No,Medium,Excellent
20,63,Some,Yes,Low,Yes,Male,27,Visual,12,Often,99,60,Yes,High,Good
20,63,Some,Yes,Low,Yes,Male,21,Visual,19,Rarely,98,50,No,Low,Excellent
20,63,Some,Yes,Low,Yes,Male,26,Kinesthetic,5,Often,83,68,Yes,High,Good
20,63,Some,Yes,Medium,Yes,Male,27,Visual,12,Often,99,60,Yes,High,Good
20,63,Some,Yes,Medium,Yes,Male,21,Visual,19,Rarely,98,50,No,Low,Excellent
20,63,Some,Yes,Medium,Yes,Male,26,Kinesthetic,5,Often,83,68,Yes,High,Good
20,63,Some,Yes,Medium,No,Male,27,Visual,12,Often,99,60,Yes,High,Good
20,63,Some,Yes,Medium,No,Male,21,Visual,19,Rarely,98,50,No,Low,Excellent
20,63,Some,Yes,Medium,No,Male,26,Kinesthetic,5,Often,83,68,Yes,High,Good
20,63,Some,No,Low,Yes,Male,27,Visual,12,Often,99,60,Yes,High,Good
20,63,Some,No,Low,Yes,Male,21,Visual,19,Rarely,98,50,No,Low,Excellent
20,63,Some,No,Low,Yes,Male,26,Kinesthetic,5,Often,83,68,Yes,High,Good
15,98,Many,Yes,Low,Yes,Male,25,Auditory,17,Rarely,87,64,Yes,Medium,Good
15,98,Many,Yes,Low,Yes,Male,18,Auditory,9,Rarely,58,67,Yes,High,Good
15,98,Some,No,Low,No,Male,25,Auditory,17,Rarely,87,64,Yes,Medium,Good
15,98,Some,No,Low,No,Male,18,Auditory,9,Rarely,58,67,Yes,High,Good
15,98,Many,No,Medium,Yes,Male,25,Auditory,17,Rarely,87,64,Yes,Medium,Good
15,98,Many,No,Medium,Yes,Male,18,Auditory,9,Rarely,58,67,Yes,High,Good
15,98,Some,Yes,Medium,Yes,Male,25,Auditory,17,Rarely,87,64,Yes,Medium,Good
15,98,Some,Yes,Medium,Yes,Male,18,Auditory,9,Rarely,58,67,Yes,High,Good
15,98,Some,Yes,High,Yes,Male,25,Auditory,17,Rarely,87,64,Yes,Medium,Good
15,98,Some,Yes,High,Yes,Male,18,Auditory,9,Rarely,58,67,Yes,High,Good
15,98,Many,Yes,Medium,Yes,Male,25,Auditory,17,Rarely,87,64,Yes,Medium,Good
15,98,Many,Yes,Medium,Yes,Male,18,Auditory,9,Rarely,58,67,Yes,High,Good
22,75,Some,No,Low,Yes,Female,23,Auditory,14,Rarely,99,60,Yes,High,Good
22,75,Some,No,Low,Yes,Female,18,Visual,0,Often,93,84,No,Low,Average
22,75,Many,Yes,Low,Yes,Female,23,Auditory,14,Rarely,99,60,Yes,High,Good
22,75,Many,Yes,Low,Yes,Female,18,Visual,0,Often,93,84,No,Low,Average
22,75,Some,Yes,Low,Yes,Female,23,Auditory,14,Rarely,99,60,Yes,High,Good
22,75,Some,Yes,Low,Yes,Female,18,Visual,0,Often,93,84,No,Low,Average
22,75,Some,Yes,High,Yes,Female,23,Auditory,14,Rarely,99,60,Yes,High,Good
22,75,Some,Yes,High,Yes,Female,18,Visual,0,Often,93,84,No,Low,Average
22,75,Many,No,Low,Yes,Female,23,Auditory,14,Rarely,99,60,Yes,High,Good
22,75,Many,No,Low,Yes,Female,18,Visual,0,Often,93,84,No,Low,Average
15,90,Some,Yes,Low,Yes,Female,22,Kinesthetic,7,Often,55,43,No,High,Excellent
15,90,Some,Yes,Low,Yes,Female,28,Visual,20,Often,81,96,Yes,High,Fail
15,90,Some,No,Medium,Yes,Female,22,Kinesthetic,7,Often,55,43,No,High,Excellent
15,90,Some,No,Medium,Yes,Female,28,Visual,20,Often,81,96,Yes,High,Fail
17,84,Some,Yes,High,Yes,Male,24,Visual,18,Often,85,94,No,High,Fail
17,84,Some,Yes,High,Yes,Male,27,Kinesthetic,10,Often,84,68,No,High,Good
17,84,Some,Yes,High,Yes,Male,18,Visual,20,Rarely,88,65,Yes,Low,Good
17,84,Some,Yes,High,Yes,Male,22,Auditory,18,Often,54,90,Yes,High,Fail
17,84,Some,Yes,High,Yes,Male,22,Kinesthetic,11,Rarely,77,49,Yes,Medium,Excellent
17,84,Some,Yes,Low,Yes,Male,24,Visual,18,Often,85,94,No,High,Fail
17,84,Some,Yes,Low,Yes,Male,27,Kinesthetic,10,Often,84,68,No,High,Good
17,84,Some,Yes,Low,Yes,Male,18,Visual,20,Rarely,88,65,Yes,Low,Good
17,84,Some,Yes,Low,Yes,Male,22,Auditory,18,Often,54,90,Yes,High,Fail
17,84,Some,Yes,Low,Yes,Male,22,Kinesthetic,11,Rarely,77,49,Yes,Medium,Excellent
17,84,Many,No,Medium,Yes,Male,24,Visual,18,Often,85,94,No,High,Fail
17,84,Many,No,Medium,Yes,Male,27,Kinesthetic,10,Often,84,68,No,High,Good
17,84,Many,No,Medium,Yes,Male,18,Visual,20,Rarely,88,65,Yes,Low,Good
17,84,Many,No,Medium,Yes,Male,22,Auditory,18,Often,54,90,Yes,High,Fail
17,84,Many,No,Medium,Yes,Male,22,Kinesthetic,11,Rarely,77,49,Yes,Medium,Excellent
17,84,Many,Yes,Medium,Yes,Male,24,Visual,18,Often,85,94,No,High,Fail
17,84,Many,Yes,Medium,Yes,Male,27,Kinesthetic,10,Often,84,68,No,High,Good
17,84,Many,Yes,Medium,Yes,Male,18,Visual,20,Rarely,88,65,Yes,Low,Good
17,84,Many,Yes,Medium,Yes,Male,22,Auditory,18,Often,54,90,Yes,High,Fail
17,84,Many,Yes,Medium,Yes,Male,22,Kinesthetic,11,Rarely,77,49,Yes,Medium,Excellent
25,85,Many,No,High,Yes,Male,18,Auditory,16,Often,69,70,Yes,High,Average
25,85,Many,No,High,Yes,Male,21,Visual,3,Rarely,96,50,Yes,High,Excellent
25,85,Many,No,High,Yes,Male,24,Visual,4,Often,78,76,Yes,Medium,Average
25,85,Some,No,Low,Yes,Male,18,Auditory,16,Often,69,70,Yes,High,Average
25,85,Some,No,Low,Yes,Male,21,Visual,3,Rarely,96,50,Yes,High,Excellent
25,85,Some,No,Low,Yes,Male,24,Visual,4,Often,78,76,Yes,Medium,Average
25,85,Some,Yes,Medium,Yes,Male,18,Auditory,16,Often,69,70,Yes,High,Average
25,85,Some,Yes,Medium,Yes,Male,21,Visual,3,Rarely,96,50,Yes,High,Excellent
25,85,Some,Yes,Medium,Yes,Male,24,Visual,4,Often,78,76,Yes,Medium,Average
25,85,Many,No,Medium,Yes,Male,18,Auditory,16,Often,69,70,Yes,High,Average
25,85,Many,No,Medium,Yes,Male,21,Visual,3,Rarely,96,50,Yes,High,Excellent
25,85,Many,No,Medium,Yes,Male,24,Visual,4,Often,78,76,Yes,Medium,Average
23,86,Some,Yes,Low,Yes,Male,20,Visual,3,Often,81,85,Yes,High,Fail
23,86,Many,Yes,Low,Yes,Male,20,Visual,3,Often,81,85,Yes,High,Fail
23,86,Many,Yes,Medium,Yes,Male,20,Visual,3,Often,81,85,Yes,High,Fail
23,86,Some,No,Low,Yes,Male,20,Visual,3,Often,81,85,Yes,High,Fail
23,86,Some,Yes,High,Yes,Male,20,Visual,3,Often,81,85,Yes,High,Fail
23,86,Many,No,Low,Yes,Male,20,Visual,3,Often,81,85,Yes,High,Fail
14,85,Some,No,Low,Yes,Female,19,Visual,4,Often,58,56,Yes,Low,Good
14,85,Some,No,Low,Yes,Female,23,Visual,4,Rarely,88,65,Yes,High,Good
14,85,Some,No,Low,Yes,Female,19,Kinesthetic,6,Rarely,73,87,Yes,High,Fail
14,85,Some,Yes,Low,Yes,Female,19,Visual,4,Often,58,56,Yes,Low,Good
14,85,Some,Yes,Low,Yes,Female,23,Visual,4,Rarely,88,65,Yes,High,Good
14,85,Some,Yes,Low,Yes,Female,19,Kinesthetic,6,Rarely,73,87,Yes,High,Fail
14,85,Many,Yes,Medium,Yes,Female,19,Visual,4,Often,58,56,Yes,Low,Good
14,85,Many,Yes,Medium,Yes,Female,23,Visual,4,Rarely,88,65,Yes,High,Good
14,85,Many,Yes,Medium,Yes,Female,19,Kinesthetic,6,Rarely,73,87,Yes,High,Fail
14,85,Some,Yes,Medium,Yes,Female,19,Visual,4,Often,58,56,Yes,Low,Good
14,85,Some,Yes,Medium,Yes,Female,23,Visual,4,Rarely,88,65,Yes,High,Good
14,85,Some,Yes,Medium,Yes,Female,19,Kinesthetic,6,Rarely,73,87,Yes,High,Fail
14,85,Some,No,Medium,Yes,Female,19,Visual,4,Often,58,56,Yes,Low,Good
14,85,Some,No,Medium,Yes,Female,23,Visual,4,Rarely,88,65,Yes,High,Good
14,85,Some,No,Medium,Yes,Female,19,Kinesthetic,6,Rarely,73,87,Yes,High,Fail
21,82,Some,No,Medium,Yes,Female,25,Visual,8,Often,78,46,Yes,High,Excellent
21,82,Some,No,Medium,Yes,Female,19,Visual,8,Often,80,91,Yes,Low,Fail
21,82,Some,Yes,High,Yes,Female,25,Visual,8,Often,78,46,Yes,High,Excellent
21,82,Some,Yes,High,Yes,Female,19,Visual,8,Often,80,91,Yes,Low,Fail
21,82,Many,Yes,Low,Yes,Female,25,Visual,8,Often,78,46,Yes,High,Excellent
21,82,Many,Yes,Low,Yes,Female,19,Visual,8,Often,80,91,Yes,Low,Fail
21,82,Many,No,Medium,Yes,Female,25,Visual,8,Often,78,46,Yes,High,Excellent
21,82,Many,No,Medium,Yes,Female,19,Visual,8,Often,80,91,Yes,Low,Fail
21,82,Many,No,High,Yes,Female,25,Visual,8,Often,78,46,Yes,High,Excellent
21,82,Many,No,High,Yes,Female,19,Visual,8,Often,80,91,Yes,Low,Fail
25,99,Some,Yes,High,Yes,Female,19,Kinesthetic,11,Rarely,99,97,Yes,High,Fail
25,99,Some,Yes,High,Yes,Female,18,Visual,4,Rarely,80,48,No,Medium,Excellent
25,99,Some,No,Medium,No,Female,19,Kinesthetic,11,Rarely,99,97,Yes,High,Fail
25,99,Some,No,Medium,No,Female,18,Visual,4,Rarely,80,48,No,Medium,Excellent
25,99,Some,No,Medium,Yes,Female,19,Kinesthetic,11,Rarely,99,97,Yes,High,Fail
25,99,Some,No,Medium,Yes,Female,18,Visual,4,Rarely,80,48,No,Medium,Excellent
25,99,Many,No,Medium,Yes,Female,19,Kinesthetic,11,Rarely,99,97,Yes,High,Fail
25,99,Many,No,Medium,Yes,Female,18,Visual,4,Rarely,80,48,No,Medium,Excellent
25,99,Many,No,High,Yes,Female,19,Kinesthetic,11,Rarely,99,97,Yes,High,Fail
25,99,Many,No,High,Yes,Female,18,Visual,4,Rarely,80,48,No,Medium,Excellent
25,99,Some,Yes,Medium,Yes,Female,19,Kinesthetic,11,Rarely,99,97,Yes,High,Fail
25,99,Some,Yes,Medium,Yes,Female,18,Visual,4,Rarely,80,48,No,Medium,Excellent
10,89,Some,Yes,Low,Yes,Female,20,Auditory,17,Often,70,58,No,Low,Good
10,89,Some,Yes,Low,Yes,Female,27,Kinesthetic,20,Rarely,82,57,Yes,Low,Good
10,89,Some,Yes,Low,Yes,Female,21,Kinesthetic,13,Often,62,94,Yes,Low,Fail
10,89,Some,Yes,Medium,Yes,Female,20,Auditory,17,Often,70,58,No,Low,Good
10,89,Some,Yes,Medium,Yes,Female,27,Kinesthetic,20,Rarely,82,57,Yes,Low,Good
10,89,Some,Yes,Medium,Yes,Female,21,Kinesthetic,13,Often,62,94,Yes,Low,Fail
16,95,Some,Yes,Low,Yes,Male,23,Visual,1,Rarely,91,59,Yes,High,Good
16,95,Some,Yes,Low,Yes,Male,29,Auditory,18,Rarely,66,89,No,Medium,Fail
16,95,Some,No,Low,Yes,Male,23,Visual,1,Rarely,91,59,Yes,High,Good
16,95,Some,No,Low,Yes,Male,29,Auditory,18,Rarely,66,89,No,Medium,Fail
16,95,Some,Yes,High,Yes,Male,23,Visual,1,Rarely,91,59,Yes,High,Good
16,95,Some,Yes,High,Yes,Male,29,Auditory,18,Rarely,66,89,No,Medium,Fail
16,95,Some,No,Low,No,Male,23,Visual,1,Rarely,91,59,Yes,High,Good
16,95,Some,No,Low,No,Male,29,Auditory,18,Rarely,66,89,No,Medium,Fail
16,95,Some,No,Medium,Yes,Male,23,Visual,1,Rarely,91,59,Yes,High,Good
16,95,Some,No,Medium,Yes,Male,29,Auditory,18,Rarely,66,89,No,Medium,Fail
23,69,Many,Yes,Medium,Yes,Female,18,Kinesthetic,7,Often,69,80,Yes,High,Average
23,69,Some,Yes,Medium,Yes,Female,18,Kinesthetic,7,Often,69,80,Yes,High,Average
23,69,Some,Yes,High,Yes,Female,18,Kinesthetic,7,Often,69,80,Yes,High,Average
23,69,Some,Yes,Low,No,Female,18,Kinesthetic,7,Often,69,80,Yes,High,Average
15,63,Some,No,Low,Yes,Male,28,Auditory,12,Often,93,78,Yes,Medium,Average
9,79,Some,No,High,Yes,Female,23,Visual,0,Rarely,69,53,Yes,Medium,Excellent
9,79,Some,No,High,Yes,Female,19,Visual,10,Often,91,58,Yes,Medium,Good
9,79,Some,No,High,Yes,Female,24,Visual,10,Rarely,81,66,Yes,Medium,Good
10,81,Some,Yes,Medium,No,Male,23,Visual,4,Rarely,64,82,No,High,Average
10,81,Some,Yes,Medium,No,Male,21,Visual,20,Often,90,94,Yes,High,Fail
10,81,Some,Yes,Medium,No,Male,27,Kinesthetic,1,Often,52,50,Yes,Low,Excellent
10,81,Some,Yes,Medium,No,Male,29,Visual,20,Rarely,93,61,No,Medium,Good
10,81,Many,Yes,Medium,Yes,Male,23,Visual,4,Rarely,64,82,No,High,Average
10,81,Many,Yes,Medium,Yes,Male,21,Visual,20,Often,90,94,Yes,High,Fail
10,81,Many,Yes,Medium,Yes,Male,27,Kinesthetic,1,Often,52,50,Yes,Low,Excellent
10,81,Many,Yes,Medium,Yes,Male,29,Visual,20,Rarely,93,61,No,Medium,Good
20,93,Many,Yes,Medium,Yes,Female,19,Visual,0,Rarely,65,54,No,High,Excellent
20,93,Many,Yes,Medium,Yes,Female,23,Visual,5,Often,55,99,Yes,Low,Fail
20,93,Many,Yes,Medium,Yes,Female,23,Auditory,14,Often,65,56,No,High,Good
20,93,Many,Yes,Medium,Yes,Female,23,Kinesthetic,8,Often,51,47,Yes,Medium,Excellent
20,93,Some,Yes,Low,Yes,Female,19,Visual,0,Rarely,65,54,No,High,Excellent
20,93,Some,Yes,Low,Yes,Female,23,Visual,5,Often,55,99,Yes,Low,Fail
20,93,Some,Yes,Low,Yes,Female,23,Auditory,14,Often,65,56,No,High,Good
20,93,Some,Yes,Low,Yes,Female,23,Kinesthetic,8,Often,51,47,Yes,Medium,Excellent
20,93,Some,Yes,Medium,Yes,Female,19,Visual,0,Rarely,65,54,No,High,Excellent
20,93,Some,Yes,Medium,Yes,Female,23,Visual,5,Often,55,99,Yes,Low,Fail
20,93,Some,Yes,Medium,Yes,Female,23,Auditory,14,Often,65,56,No,High,Good
20,93,Some,Yes,Medium,Yes,Female,23,Kinesthetic,8,Often,51,47,Yes,Medium,Excellent
20,93,Many,No,Medium,Yes,Female,19,Visual,0,Rarely,65,54,No,High,Excellent
20,93,Many,No,Medium,Yes,Female,23,Visual,5,Often,55,99,Yes,Low,Fail
20,93,Many,No,Medium,Yes,Female,23,Auditory,14,Often,65,56,No,High,Good
20,93,Many,No,Medium,Yes,Female,23,Kinesthetic,8,Often,51,47,Yes,Medium,Excellent
20,93,Some,No,High,Yes,Female,19,Visual,0,Rarely,65,54,No,High,Excellent
20,93,Some,No,High,Yes,Female,23,Visual,5,Often,55,99,Yes,Low,Fail
20,93,Some,No,High,Yes,Female,23,Auditory,14,Often,65,56,No,High,Good
20,93,Some,No,High,Yes,Female,23,Kinesthetic,8,Often,51,47,Yes,Medium,Excellent
20,93,Some,No,Medium,Yes,Female,19,Visual,0,Rarely,65,54,No,High,Excellent
20,93,Some,No,Medium,Yes,Female,23,Visual,5,Often,55,99,Yes,Low,Fail
20,93,Some,No,Medium,Yes,Female,23,Auditory,14,Often,65,56,No,High,Good
20,93,Some,No,Medium,Yes,Female,23,Kinesthetic,8,Often,51,47,Yes,Medium,Excellent
22,78,Some,Yes,Low,Yes,Female,19,Kinesthetic,13,Often,95,60,No,High,Good
22,78,Some,Yes,Low,Yes,Female,27,Kinesthetic,9,Often,58,73,Yes,Medium,Average
22,78,Some,Yes,Low,Yes,Female,22,Kinesthetic,10,Rarely,87,65,No,Low,Good
22,78,Many,Yes,Medium,Yes,Female,19,Kinesthetic,13,Often,95,60,No,High,Good
22,78,Many,Yes,Medium,Yes,Female,27,Kinesthetic,9,Often,58,73,Yes,Medium,Average
22,78,Many,Yes,Medium,Yes,Female,22,Kinesthetic,10,Rarely,87,65,No,Low,Good
22,78,Some,No,Medium,Yes,Female,19,Kinesthetic,13,Often,95,60,No,High,Good
22,78,Some,No,Medium,Yes,Female,27,Kinesthetic,9,Often,58,73,Yes,Medium,Average
22,78,Some,No,Medium,Yes,Female,22,Kinesthetic,10,Rarely,87,65,No,Low,Good
22,78,Some,Yes,Medium,Yes,Female,19,Kinesthetic,13,Often,95,60,No,High,Good
22,78,Some,Yes,Medium,Yes,Female,27,Kinesthetic,9,Often,58,73,Yes,Medium,Average
22,78,Some,Yes,Medium,Yes,Female,22,Kinesthetic,10,Rarely,87,65,No,Low,Good
22,78,Many,No,Low,Yes,Female,19,Kinesthetic,13,Often,95,60,No,High,Good
22,78,Many,No,Low,Yes,Female,27,Kinesthetic,9,Often,58,73,Yes,Medium,Average
22,78,Many,No,Low,Yes,Female,22,Kinesthetic,10,Rarely,87,65,No,Low,Good
22,78,Many,Yes,Low,Yes,Female,19,Kinesthetic,13,Often,95,60,No,High,Good
22,78,Many,Yes,Low,Yes,Female,27,Kinesthetic,9,Often,58,73,Yes,Medium,Average
22,78,Many,Yes,Low,Yes,Female,22,Kinesthetic,10,Rarely,87,65,No,Low,Good
22,78,Some,No,High,Yes,Female,19,Kinesthetic,13,Often,95,60,No,High,Good
22,78,Some,No,High,Yes,Female,27,Kinesthetic,9,Often,58,73,Yes,Medium,Average
22,78,Some,No,High,Yes,Female,22,Kinesthetic,10,Rarely,87,65,No,Low,Good
24,81,Some,No,Medium,Yes,Male,25,Visual,20,Rarely,64,43,Yes,High,Excellent
24,81,Some,No,Medium,Yes,Male,20,Auditory,13,Often,97,83,No,Medium,Average
10,62,Some,No,High,Yes,Female,27,Visual,13,Rarely,97,51,Yes,Medium,Excellent
10,62,Some,No,High,Yes,Female,20,Visual,0,Often,60,68,Yes,High,Good
10,62,Some,No,High,Yes,Female,20,Auditory,15,Often,95,83,No,Medium,Average
10,62,Some,No,High,Yes,Female,24,Visual,10,Rarely,98,65,No,Medium,Good
10,62,Some,No,High,Yes,Female,23,Auditory,14,Rarely,79,59,Yes,High,Good
10,62,Many,No,Medium,Yes,Female,27,Visual,13,Rarely,97,51,Yes,Medium,Excellent
10,62,Many,No,Medium,Yes,Female,20,Visual,0,Often,60,68,Yes,High,Good
10,62,Many,No,Medium,Yes,Female,20,Auditory,15,Often,95,83,No,Medium,Average
10,62,Many,No,Medium,Yes,Female,24,Visual,10,Rarely,98,65,No,Medium,Good
10,62,Many,No,Medium,Yes,Female,23,Auditory,14,Rarely,79,59,Yes,High,Good
20,85,Some,No,High,Yes,Female,25,Visual,20,Often,52,53,Yes,Medium,Excellent
20,85,Some,No,High,Yes,Female,28,Auditory,1,Rarely,98,67,Yes,High,Good
20,85,Some,No,High,Yes,Female,28,Kinesthetic,5,Often,50,75,Yes,High,Average
20,85,Some,No,High,Yes,Female,20,Auditory,7,Rarely,97,81,Yes,Medium,Average
20,85,Some,No,High,Yes,Female,22,Kinesthetic,5,Often,54,41,Yes,Medium,Excellent
20,85,Some,Yes,Low,Yes,Female,25,Visual,20,Often,52,53,Yes,Medium,Excellent
20,85,Some,Yes,Low,Yes,Female,28,Auditory,1,Rarely,98,67,Yes,High,Good
20,85,Some,Yes,Low,Yes,Female,28,Kinesthetic,5,Often,50,75,Yes,High,Average
20,85,Some,Yes,Low,Yes,Female,20,Auditory,7,Rarely,97,81,Yes,Medium,Average
20,85,Some,Yes,Low,Yes,Female,22,Kinesthetic,5,Often,54,41,Yes,Medium,Excellent
20,85,Some,No,Low,Yes,Female,25,Visual,20,Often,52,53,Yes,Medium,Excellent
20,85,Some,No,Low,Yes,Female,28,Auditory,1,Rarely,98,67,Yes,High,Good
20,85,Some,No,Low,Yes,Female,28,Kinesthetic,5,Often,50,75,Yes,High,Average
20,85,Some,No,Low,Yes,Female,20,Auditory,7,Rarely,97,81,Yes,Medium,Average
20,85,Some,No,Low,Yes,Female,22,Kinesthetic,5,Often,54,41,Yes,Medium,Excellent
20,85,Some,Yes,Medium,Yes,Female,25,Visual,20,Often,52,53,Yes,Medium,Excellent
20,85,Some,Yes,Medium,Yes,Female,28,Auditory,1,Rarely,98,67,Yes,High,Good
20,85,Some,Yes,Medium,Yes,Female,28,Kinesthetic,5,Often,50,75,Yes,High,Average
20,85,Some,Yes,Medium,Yes,Female,20,Auditory,7,Rarely,97,81,Yes,Medium,Average
